Descritpion_ID,Top_20_Image_IDs
0.txt,1011.jpg 46.jpg 105.jpg 345.jpg 21.jpg 1480.jpg 1698.jpg 1409.jpg 742.jpg 576.jpg 1105.jpg 124.jpg 1131.jpg 309.jpg 985.jpg 1420.jpg 1969.jpg 255.jpg 1077.jpg 594.jpg
1.txt,1714.jpg 378.jpg 927.jpg 753.jpg 833.jpg 1559.jpg 818.jpg 80.jpg 1907.jpg 158.jpg 355.jpg 1742.jpg 160.jpg 1601.jpg 428.jpg 1116.jpg 57.jpg 331.jpg 1049.jpg 169.jpg
2.txt,1183.jpg 838.jpg 445.jpg 159.jpg 1866.jpg 1292.jpg 598.jpg 1724.jpg 953.jpg 1651.jpg 1574.jpg 511.jpg 600.jpg 1840.jpg 42.jpg 663.jpg 607.jpg 496.jpg 372.jpg 1040.jpg
3.txt,469.jpg 1514.jpg 770.jpg 799.jpg 1486.jpg 1765.jpg 26.jpg 1315.jpg 654.jpg 1748.jpg 1112.jpg 1126.jpg 1778.jpg 75.jpg 1609.jpg 1101.jpg 1513.jpg 1052.jpg 1035.jpg 1430.jpg
4.txt,1180.jpg 430.jpg 1243.jpg 985.jpg 46.jpg 742.jpg 305.jpg 1269.jpg 1581.jpg 969.jpg 1262.jpg 105.jpg 68.jpg 922.jpg 1945.jpg 1462.jpg 687.jpg 137.jpg 1298.jpg 199.jpg
5.txt,1874.jpg 429.jpg 1815.jpg 1265.jpg 771.jpg 623.jpg 51.jpg 361.jpg 492.jpg 728.jpg 1943.jpg 1216.jpg 1335.jpg 899.jpg 1693.jpg 1630.jpg 846.jpg 1700.jpg 630.jpg 555.jpg
6.txt,1855.jpg 1660.jpg 1216.jpg 429.jpg 1790.jpg 1472.jpg 1874.jpg 1275.jpg 1151.jpg 1815.jpg 1265.jpg 1944.jpg 1923.jpg 262.jpg 655.jpg 1625.jpg 1885.jpg 718.jpg 1940.jpg 1377.jpg
7.txt,975.jpg 907.jpg 448.jpg 1363.jpg 1123.jpg 528.jpg 932.jpg 409.jpg 481.jpg 987.jpg 1900.jpg 1362.jpg 1239.jpg 745.jpg 384.jpg 685.jpg 836.jpg 168.jpg 1270.jpg 1085.jpg
8.txt,419.jpg 1283.jpg 537.jpg 102.jpg 531.jpg 1399.jpg 719.jpg 1048.jpg 1931.jpg 1548.jpg 103.jpg 1004.jpg 1618.jpg 1847.jpg 727.jpg 1519.jpg 1674.jpg 1259.jpg 86.jpg 464.jpg
9.txt,554.jpg 345.jpg 413.jpg 1446.jpg 1296.jpg 1429.jpg 614.jpg 985.jpg 1153.jpg 549.jpg 493.jpg 1355.jpg 1243.jpg 760.jpg 881.jpg 321.jpg 1850.jpg 1367.jpg 418.jpg 639.jpg
10.txt,904.jpg 696.jpg 1471.jpg 634.jpg 42.jpg 1840.jpg 838.jpg 1482.jpg 260.jpg 511.jpg 1421.jpg 496.jpg 186.jpg 1183.jpg 1023.jpg 1475.jpg 1499.jpg 159.jpg 1665.jpg 953.jpg
11.txt,1693.jpg 814.jpg 1426.jpg 771.jpg 51.jpg 1335.jpg 998.jpg 1943.jpg 1292.jpg 526.jpg 1296.jpg 846.jpg 492.jpg 1402.jpg 379.jpg 82.jpg 127.jpg 630.jpg 330.jpg 1874.jpg
12.txt,1765.jpg 1944.jpg 516.jpg 770.jpg 1656.jpg 26.jpg 1653.jpg 207.jpg 1212.jpg 1414.jpg 735.jpg 1318.jpg 1568.jpg 745.jpg 231.jpg 712.jpg 582.jpg 845.jpg 1620.jpg 1028.jpg
13.txt,899.jpg 414.jpg 262.jpg 1940.jpg 1289.jpg 910.jpg 1333.jpg 583.jpg 1020.jpg 655.jpg 1734.jpg 1311.jpg 1584.jpg 1758.jpg 712.jpg 1312.jpg 903.jpg 33.jpg 940.jpg 1655.jpg
14.txt,217.jpg 1289.jpg 156.jpg 623.jpg 414.jpg 1933.jpg 1151.jpg 555.jpg 899.jpg 1096.jpg 910.jpg 655.jpg 458.jpg 1333.jpg 897.jpg 1758.jpg 262.jpg 1444.jpg 996.jpg 1377.jpg
15.txt,1369.jpg 1999.jpg 1334.jpg 247.jpg 1839.jpg 1477.jpg 738.jpg 644.jpg 225.jpg 149.jpg 1114.jpg 1158.jpg 482.jpg 6.jpg 107.jpg 668.jpg 1615.jpg 198.jpg 967.jpg 1959.jpg
16.txt,994.jpg 1127.jpg 1236.jpg 78.jpg 37.jpg 1434.jpg 1551.jpg 194.jpg 1373.jpg 1577.jpg 734.jpg 1966.jpg 370.jpg 1746.jpg 1364.jpg 267.jpg 1385.jpg 1610.jpg 1698.jpg 1098.jpg
17.txt,1883.jpg 106.jpg 1533.jpg 1144.jpg 222.jpg 333.jpg 231.jpg 82.jpg 68.jpg 1118.jpg 678.jpg 1321.jpg 973.jpg 669.jpg 1627.jpg 105.jpg 600.jpg 1535.jpg 279.jpg 124.jpg
18.txt,779.jpg 1463.jpg 59.jpg 1450.jpg 1279.jpg 577.jpg 239.jpg 1953.jpg 1819.jpg 944.jpg 661.jpg 605.jpg 1125.jpg 677.jpg 1528.jpg 320.jpg 1140.jpg 764.jpg 494.jpg 650.jpg
19.txt,1301.jpg 1189.jpg 933.jpg 145.jpg 1357.jpg 1831.jpg 824.jpg 1128.jpg 1552.jpg 716.jpg 275.jpg 884.jpg 1370.jpg 715.jpg 1288.jpg 258.jpg 1418.jpg 207.jpg 1801.jpg 750.jpg
20.txt,1570.jpg 1064.jpg 1573.jpg 231.jpg 1847.jpg 1656.jpg 1927.jpg 1954.jpg 459.jpg 431.jpg 676.jpg 1567.jpg 735.jpg 1665.jpg 1212.jpg 559.jpg 103.jpg 1197.jpg 1037.jpg 531.jpg
21.txt,884.jpg 824.jpg 1207.jpg 1921.jpg 1070.jpg 1189.jpg 1598.jpg 573.jpg 273.jpg 817.jpg 67.jpg 750.jpg 85.jpg 134.jpg 1552.jpg 994.jpg 1778.jpg 412.jpg 207.jpg 1798.jpg
22.txt,1814.jpg 590.jpg 1988.jpg 1138.jpg 326.jpg 1642.jpg 1891.jpg 1688.jpg 1347.jpg 67.jpg 1754.jpg 253.jpg 611.jpg 571.jpg 1065.jpg 666.jpg 682.jpg 701.jpg 57.jpg 774.jpg
23.txt,1274.jpg 1019.jpg 499.jpg 1964.jpg 578.jpg 780.jpg 1356.jpg 759.jpg 385.jpg 1545.jpg 707.jpg 1378.jpg 1554.jpg 1994.jpg 1169.jpg 454.jpg 1422.jpg 39.jpg 1710.jpg 1349.jpg
24.txt,1681.jpg 1870.jpg 1633.jpg 1445.jpg 708.jpg 1406.jpg 1974.jpg 74.jpg 1722.jpg 1206.jpg 1520.jpg 684.jpg 1036.jpg 584.jpg 70.jpg 1732.jpg 439.jpg 1074.jpg 1602.jpg 1882.jpg
25.txt,1215.jpg 1207.jpg 731.jpg 26.jpg 1097.jpg 471.jpg 960.jpg 1187.jpg 1889.jpg 1765.jpg 249.jpg 1778.jpg 1145.jpg 1318.jpg 1727.jpg 1465.jpg 1415.jpg 267.jpg 52.jpg 1361.jpg
26.txt,1141.jpg 1999.jpg 1839.jpg 738.jpg 1369.jpg 668.jpg 247.jpg 482.jpg 1184.jpg 107.jpg 1959.jpg 6.jpg 149.jpg 1334.jpg 1147.jpg 198.jpg 225.jpg 1507.jpg 1477.jpg 1102.jpg
27.txt,439.jpg 64.jpg 1339.jpg 708.jpg 81.jpg 440.jpg 544.jpg 194.jpg 1633.jpg 1307.jpg 1970.jpg 1870.jpg 269.jpg 688.jpg 1401.jpg 777.jpg 1297.jpg 1966.jpg 127.jpg 1364.jpg
28.txt,1184.jpg 738.jpg 107.jpg 1192.jpg 198.jpg 1959.jpg 1369.jpg 1147.jpg 1628.jpg 1839.jpg 1141.jpg 674.jpg 1999.jpg 1381.jpg 482.jpg 1757.jpg 1102.jpg 1871.jpg 1615.jpg 1477.jpg
29.txt,998.jpg 1424.jpg 1296.jpg 1011.jpg 639.jpg 162.jpg 1149.jpg 1176.jpg 1505.jpg 1484.jpg 124.jpg 1536.jpg 604.jpg 223.jpg 1133.jpg 879.jpg 45.jpg 1817.jpg 340.jpg 1077.jpg
30.txt,749.jpg 1553.jpg 1980.jpg 1883.jpg 723.jpg 1769.jpg 1850.jpg 226.jpg 1705.jpg 1185.jpg 305.jpg 1035.jpg 1720.jpg 90.jpg 397.jpg 1627.jpg 1315.jpg 106.jpg 1609.jpg 105.jpg
