Descritpion_ID,Top_20_Image_IDs
0.txt,1105.jpg 345.jpg 1480.jpg 1094.jpg 338.jpg 309.jpg 1344.jpg 561.jpg 714.jpg 1420.jpg 1980.jpg 1967.jpg 93.jpg 602.jpg 1702.jpg 669.jpg 105.jpg 1107.jpg 769.jpg 626.jpg
1.txt,80.jpg 818.jpg 833.jpg 169.jpg 314.jpg 1116.jpg 200.jpg 107.jpg 428.jpg 331.jpg 508.jpg 927.jpg 1141.jpg 1550.jpg 820.jpg 1806.jpg 1714.jpg 1742.jpg 1049.jpg 61.jpg
2.txt,1724.jpg 1183.jpg 42.jpg 838.jpg 1840.jpg 159.jpg 1471.jpg 1366.jpg 1482.jpg 634.jpg 1084.jpg 1713.jpg 1421.jpg 649.jpg 1208.jpg 1665.jpg 696.jpg 511.jpg 1059.jpg 663.jpg
3.txt,1514.jpg 1101.jpg 1024.jpg 26.jpg 469.jpg 770.jpg 1778.jpg 1769.jpg 1765.jpg 1215.jpg 471.jpg 1052.jpg 1553.jpg 1609.jpg 1620.jpg 1097.jpg 1035.jpg 361.jpg 1415.jpg 1414.jpg
4.txt,742.jpg 922.jpg 1462.jpg 1561.jpg 985.jpg 1466.jpg 687.jpg 594.jpg 1269.jpg 305.jpg 1816.jpg 292.jpg 1262.jpg 1231.jpg 1298.jpg 549.jpg 601.jpg 969.jpg 199.jpg 1187.jpg
5.txt,771.jpg 1874.jpg 51.jpg 492.jpg 1991.jpg 1693.jpg 1335.jpg 814.jpg 846.jpg 1660.jpg 330.jpg 1943.jpg 379.jpg 643.jpg 1292.jpg 1320.jpg 630.jpg 703.jpg 77.jpg 1837.jpg
6.txt,1660.jpg 1855.jpg 1216.jpg 429.jpg 1701.jpg 655.jpg 1790.jpg 1472.jpg 1815.jpg 1874.jpg 771.jpg 1940.jpg 583.jpg 1275.jpg 1320.jpg 1444.jpg 16.jpg 1625.jpg 1151.jpg 910.jpg
7.txt,975.jpg 1786.jpg 1285.jpg 627.jpg 1328.jpg 168.jpg 1085.jpg 448.jpg 1155.jpg 689.jpg 409.jpg 907.jpg 1961.jpg 1249.jpg 267.jpg 1857.jpg 1469.jpg 1270.jpg 105.jpg 91.jpg
8.txt,1283.jpg 419.jpg 719.jpg 103.jpg 1048.jpg 531.jpg 923.jpg 1567.jpg 727.jpg 1004.jpg 1622.jpg 1348.jpg 1954.jpg 1399.jpg 1570.jpg 464.jpg 403.jpg 1962.jpg 447.jpg 1346.jpg
9.txt,549.jpg 554.jpg 770.jpg 1886.jpg 614.jpg 1620.jpg 899.jpg 1795.jpg 413.jpg 1671.jpg 1818.jpg 1371.jpg 570.jpg 1101.jpg 1821.jpg 712.jpg 965.jpg 617.jpg 1187.jpg 1558.jpg
10.txt,634.jpg 1366.jpg 42.jpg 511.jpg 696.jpg 1482.jpg 1840.jpg 979.jpg 1471.jpg 904.jpg 1499.jpg 883.jpg 1421.jpg 765.jpg 579.jpg 1665.jpg 117.jpg 260.jpg 838.jpg 663.jpg
11.txt,51.jpg 1943.jpg 1693.jpg 771.jpg 492.jpg 379.jpg 814.jpg 1335.jpg 846.jpg 1874.jpg 1533.jpg 330.jpg 1426.jpg 1292.jpg 1991.jpg 1660.jpg 630.jpg 49.jpg 1837.jpg 643.jpg
12.txt,1653.jpg 464.jpg 1804.jpg 676.jpg 735.jpg 845.jpg 397.jpg 1567.jpg 1171.jpg 922.jpg 1954.jpg 654.jpg 1637.jpg 1950.jpg 837.jpg 221.jpg 231.jpg 1212.jpg 1443.jpg 413.jpg
13.txt,1020.jpg 1333.jpg 899.jpg 1584.jpg 414.jpg 1311.jpg 1758.jpg 1096.jpg 1655.jpg 1734.jpg 583.jpg 712.jpg 1377.jpg 648.jpg 217.jpg 977.jpg 1289.jpg 1153.jpg 908.jpg 996.jpg
14.txt,1289.jpg 414.jpg 217.jpg 1096.jpg 899.jpg 1758.jpg 1655.jpg 1333.jpg 583.jpg 712.jpg 555.jpg 1933.jpg 458.jpg 1311.jpg 897.jpg 1465.jpg 156.jpg 1151.jpg 1584.jpg 977.jpg
15.txt,247.jpg 1999.jpg 1334.jpg 463.jpg 482.jpg 1369.jpg 738.jpg 644.jpg 1839.jpg 1158.jpg 6.jpg 198.jpg 1177.jpg 149.jpg 1477.jpg 1507.jpg 967.jpg 1308.jpg 1184.jpg 1141.jpg
16.txt,1236.jpg 37.jpg 1127.jpg 1729.jpg 1746.jpg 1577.jpg 267.jpg 973.jpg 637.jpg 1568.jpg 1924.jpg 1434.jpg 518.jpg 1416.jpg 1676.jpg 1441.jpg 595.jpg 880.jpg 1373.jpg 939.jpg
17.txt,322.jpg 231.jpg 838.jpg 634.jpg 445.jpg 1724.jpg 883.jpg 1533.jpg 1713.jpg 1720.jpg 678.jpg 669.jpg 1471.jpg 953.jpg 1665.jpg 1512.jpg 1840.jpg 1883.jpg 159.jpg 333.jpg
18.txt,1463.jpg 1819.jpg 1965.jpg 549.jpg 779.jpg 361.jpg 1125.jpg 1024.jpg 432.jpg 725.jpg 913.jpg 1953.jpg 1403.jpg 320.jpg 647.jpg 487.jpg 1791.jpg 1620.jpg 577.jpg 616.jpg
19.txt,1357.jpg 824.jpg 715.jpg 1301.jpg 258.jpg 145.jpg 884.jpg 1128.jpg 212.jpg 1801.jpg 1831.jpg 1595.jpg 1189.jpg 737.jpg 1063.jpg 1288.jpg 750.jpg 933.jpg 716.jpg 122.jpg
20.txt,1341.jpg 109.jpg 1037.jpg 1054.jpg 480.jpg 392.jpg 317.jpg 1656.jpg 815.jpg 1567.jpg 1759.jpg 666.jpg 553.jpg 1950.jpg 1707.jpg 1435.jpg 882.jpg 711.jpg 1570.jpg 189.jpg
21.txt,148.jpg 1921.jpg 915.jpg 1661.jpg 1767.jpg 85.jpg 641.jpg 412.jpg 550.jpg 909.jpg 441.jpg 506.jpg 1632.jpg 905.jpg 573.jpg 228.jpg 1070.jpg 1580.jpg 190.jpg 817.jpg
22.txt,1814.jpg 1138.jpg 1642.jpg 1988.jpg 253.jpg 590.jpg 1704.jpg 326.jpg 640.jpg 1891.jpg 1347.jpg 1065.jpg 500.jpg 666.jpg 774.jpg 1524.jpg 1773.jpg 433.jpg 701.jpg 611.jpg
23.txt,454.jpg 1169.jpg 385.jpg 759.jpg 1710.jpg 491.jpg 1545.jpg 1274.jpg 578.jpg 499.jpg 1019.jpg 1554.jpg 1378.jpg 324.jpg 780.jpg 1964.jpg 707.jpg 39.jpg 1349.jpg 827.jpg
24.txt,1074.jpg 1681.jpg 1722.jpg 1870.jpg 74.jpg 1406.jpg 1633.jpg 1445.jpg 1721.jpg 536.jpg 1520.jpg 1036.jpg 1732.jpg 684.jpg 1518.jpg 1974.jpg 1115.jpg 1062.jpg 1454.jpg 1602.jpg
25.txt,1215.jpg 1207.jpg 26.jpg 1371.jpg 1187.jpg 471.jpg 731.jpg 1097.jpg 1145.jpg 155.jpg 960.jpg 1889.jpg 1727.jpg 1620.jpg 770.jpg 1765.jpg 1614.jpg 989.jpg 1379.jpg 249.jpg
26.txt,1141.jpg 1839.jpg 1507.jpg 1369.jpg 1999.jpg 1184.jpg 149.jpg 1102.jpg 198.jpg 80.jpg 6.jpg 247.jpg 738.jpg 1147.jpg 1308.jpg 1494.jpg 668.jpg 1477.jpg 107.jpg 314.jpg
27.txt,269.jpg 194.jpg 1364.jpg 64.jpg 1621.jpg 544.jpg 1813.jpg 708.jpg 1676.jpg 777.jpg 268.jpg 688.jpg 853.jpg 1339.jpg 1966.jpg 440.jpg 439.jpg 128.jpg 1012.jpg 1657.jpg
28.txt,738.jpg 1184.jpg 482.jpg 1999.jpg 1839.jpg 1369.jpg 107.jpg 6.jpg 225.jpg 247.jpg 1615.jpg 1141.jpg 1334.jpg 1102.jpg 674.jpg 198.jpg 1068.jpg 1959.jpg 1507.jpg 668.jpg
29.txt,1821.jpg 216.jpg 772.jpg 998.jpg 1795.jpg 1505.jpg 1691.jpg 243.jpg 1176.jpg 1536.jpg 1149.jpg 1368.jpg 162.jpg 45.jpg 1296.jpg 1262.jpg 1424.jpg 1133.jpg 1900.jpg 546.jpg
30.txt,1769.jpg 599.jpg 829.jpg 749.jpg 1627.jpg 1185.jpg 843.jpg 723.jpg 943.jpg 50.jpg 1776.jpg 90.jpg 678.jpg 1035.jpg 322.jpg 1609.jpg 1771.jpg 1943.jpg 305.jpg 1720.jpg
31.txt,1861.jpg 109.jpg 801.jpg 392.jpg 984.jpg 1081.jpg 1054.jpg 1934.jpg 1697.jpg 1341.jpg 1759.jpg 635.jpg 1707.jpg 1435.jpg 613.jpg 1086.jpg 176.jpg 189.jpg 1891.jpg 326.jpg
