Descritpion_ID,Top_20_Image_IDs
0.txt,21.jpg 742.jpg 1698.jpg 93.jpg 1131.jpg 1420.jpg 594.jpg 949.jpg 1629.jpg 1409.jpg 1105.jpg 626.jpg 1135.jpg 1480.jpg 1561.jpg 255.jpg 309.jpg 1180.jpg 292.jpg 1606.jpg
1.txt,833.jpg 818.jpg 1601.jpg 80.jpg 1742.jpg 1071.jpg 314.jpg 1550.jpg 331.jpg 158.jpg 1714.jpg 457.jpg 1143.jpg 1116.jpg 428.jpg 1199.jpg 758.jpg 1068.jpg 1785.jpg 1753.jpg
2.txt,1183.jpg 838.jpg 159.jpg 1840.jpg 445.jpg 663.jpg 511.jpg 1040.jpg 1866.jpg 1713.jpg 883.jpg 598.jpg 323.jpg 496.jpg 3.jpg 600.jpg 372.jpg 1242.jpg 579.jpg 871.jpg
3.txt,1514.jpg 469.jpg 1778.jpg 1765.jpg 770.jpg 1748.jpg 1126.jpg 1101.jpg 26.jpg 1430.jpg 1620.jpg 1315.jpg 1052.jpg 799.jpg 1215.jpg 1486.jpg 374.jpg 1414.jpg 1513.jpg 960.jpg
4.txt,742.jpg 985.jpg 1180.jpg 430.jpg 687.jpg 1479.jpg 1462.jpg 1561.jpg 413.jpg 969.jpg 1856.jpg 922.jpg 199.jpg 309.jpg 292.jpg 614.jpg 849.jpg 1451.jpg 1258.jpg 912.jpg
5.txt,771.jpg 51.jpg 492.jpg 1943.jpg 1874.jpg 814.jpg 1335.jpg 846.jpg 379.jpg 1693.jpg 630.jpg 643.jpg 1913.jpg 1426.jpg 330.jpg 1830.jpg 526.jpg 1292.jpg 1660.jpg 1402.jpg
6.txt,1855.jpg 1216.jpg 1815.jpg 1660.jpg 429.jpg 1320.jpg 1790.jpg 1122.jpg 1607.jpg 771.jpg 1472.jpg 1625.jpg 1885.jpg 1923.jpg 555.jpg 1195.jpg 402.jpg 1335.jpg 655.jpg 1940.jpg
7.txt,975.jpg 1239.jpg 1900.jpg 168.jpg 409.jpg 902.jpg 685.jpg 528.jpg 136.jpg 1098.jpg 1857.jpg 745.jpg 1270.jpg 481.jpg 1568.jpg 1696.jpg 1155.jpg 1328.jpg 1285.jpg 1263.jpg
8.txt,419.jpg 719.jpg 103.jpg 531.jpg 1847.jpg 727.jpg 1931.jpg 1261.jpg 1283.jpg 1864.jpg 1987.jpg 1674.jpg 464.jpg 561.jpg 1348.jpg 1918.jpg 1618.jpg 923.jpg 1031.jpg 1543.jpg
9.txt,614.jpg 554.jpg 1153.jpg 413.jpg 1380.jpg 1886.jpg 514.jpg 1862.jpg 1818.jpg 516.jpg 1258.jpg 732.jpg 770.jpg 339.jpg 912.jpg 570.jpg 1446.jpg 36.jpg 1479.jpg 616.jpg
10.txt,696.jpg 1421.jpg 1482.jpg 904.jpg 1471.jpg 186.jpg 1023.jpg 1840.jpg 1475.jpg 42.jpg 1340.jpg 838.jpg 979.jpg 1437.jpg 1665.jpg 1499.jpg 821.jpg 260.jpg 634.jpg 763.jpg
11.txt,771.jpg 492.jpg 1335.jpg 814.jpg 1943.jpg 379.jpg 51.jpg 1426.jpg 1874.jpg 1923.jpg 526.jpg 1402.jpg 1693.jpg 630.jpg 1790.jpg 1830.jpg 1292.jpg 643.jpg 137.jpg 49.jpg
12.txt,1656.jpg 1653.jpg 745.jpg 1570.jpg 231.jpg 1028.jpg 1568.jpg 1212.jpg 221.jpg 845.jpg 1382.jpg 1355.jpg 1883.jpg 1037.jpg 1180.jpg 797.jpg 1064.jpg 351.jpg 157.jpg 735.jpg
13.txt,1020.jpg 899.jpg 1584.jpg 1377.jpg 712.jpg 217.jpg 414.jpg 1289.jpg 555.jpg 583.jpg 1311.jpg 1333.jpg 1414.jpg 648.jpg 1758.jpg 458.jpg 1655.jpg 1096.jpg 1465.jpg 1191.jpg
14.txt,414.jpg 899.jpg 217.jpg 1289.jpg 1758.jpg 458.jpg 1096.jpg 1151.jpg 1584.jpg 648.jpg 156.jpg 1311.jpg 996.jpg 1333.jpg 1655.jpg 1020.jpg 623.jpg 712.jpg 262.jpg 1465.jpg
15.txt,247.jpg 149.jpg 1158.jpg 1839.jpg 1999.jpg 1369.jpg 668.jpg 1334.jpg 198.jpg 6.jpg 1477.jpg 1141.jpg 1494.jpg 967.jpg 738.jpg 1507.jpg 463.jpg 191.jpg 1184.jpg 1308.jpg
16.txt,37.jpg 1577.jpg 1373.jpg 1236.jpg 1746.jpg 31.jpg 1568.jpg 267.jpg 1729.jpg 994.jpg 670.jpg 1127.jpg 177.jpg 346.jpg 880.jpg 52.jpg 1504.jpg 1434.jpg 595.jpg 68.jpg
17.txt,68.jpg 973.jpg 678.jpg 1535.jpg 106.jpg 1533.jpg 124.jpg 105.jpg 231.jpg 1729.jpg 1231.jpg 669.jpg 595.jpg 1076.jpg 322.jpg 1713.jpg 1480.jpg 445.jpg 1166.jpg 1429.jpg
18.txt,1819.jpg 1463.jpg 661.jpg 432.jpg 677.jpg 779.jpg 1125.jpg 1450.jpg 59.jpg 320.jpg 1953.jpg 944.jpg 1791.jpg 725.jpg 516.jpg 650.jpg 1528.jpg 1279.jpg 361.jpg 930.jpg
19.txt,1301.jpg 1189.jpg 1831.jpg 1128.jpg 824.jpg 716.jpg 145.jpg 1552.jpg 275.jpg 933.jpg 1357.jpg 1152.jpg 258.jpg 715.jpg 1801.jpg 737.jpg 884.jpg 750.jpg 207.jpg 122.jpg
20.txt,1656.jpg 1570.jpg 1653.jpg 1212.jpg 431.jpg 1954.jpg 1567.jpg 134.jpg 1617.jpg 393.jpg 1927.jpg 103.jpg 1950.jpg 711.jpg 785.jpg 1195.jpg 1455.jpg 176.jpg 957.jpg 735.jpg
21.txt,1921.jpg 1798.jpg 573.jpg 412.jpg 134.jpg 1598.jpg 1132.jpg 67.jpg 267.jpg 273.jpg 506.jpg 56.jpg 1393.jpg 1430.jpg 1682.jpg 416.jpg 1610.jpg 1397.jpg 474.jpg 915.jpg
22.txt,1814.jpg 590.jpg 326.jpg 1138.jpg 1642.jpg 1988.jpg 253.jpg 1891.jpg 1524.jpg 701.jpg 774.jpg 1065.jpg 176.jpg 666.jpg 1501.jpg 1754.jpg 1812.jpg 317.jpg 67.jpg 298.jpg
23.txt,385.jpg 1378.jpg 1019.jpg 1545.jpg 1356.jpg 759.jpg 578.jpg 1274.jpg 499.jpg 780.jpg 1554.jpg 1964.jpg 1169.jpg 1422.jpg 707.jpg 454.jpg 1349.jpg 952.jpg 438.jpg 733.jpg
24.txt,1870.jpg 1722.jpg 1681.jpg 684.jpg 1732.jpg 1520.jpg 74.jpg 1036.jpg 1602.jpg 1633.jpg 536.jpg 584.jpg 1074.jpg 1406.jpg 1721.jpg 1454.jpg 1445.jpg 1062.jpg 1115.jpg 1518.jpg
25.txt,471.jpg 1207.jpg 1215.jpg 960.jpg 26.jpg 731.jpg 1097.jpg 1889.jpg 249.jpg 825.jpg 1070.jpg 1145.jpg 1415.jpg 1532.jpg 1765.jpg 1187.jpg 1614.jpg 155.jpg 1453.jpg 1379.jpg
26.txt,1999.jpg 1141.jpg 6.jpg 1369.jpg 1334.jpg 1839.jpg 247.jpg 149.jpg 738.jpg 668.jpg 482.jpg 1477.jpg 198.jpg 1507.jpg 225.jpg 1184.jpg 1158.jpg 1959.jpg 967.jpg 80.jpg
27.txt,544.jpg 269.jpg 194.jpg 688.jpg 64.jpg 1473.jpg 1623.jpg 1970.jpg 853.jpg 1966.jpg 1364.jpg 777.jpg 929.jpg 1339.jpg 128.jpg 439.jpg 440.jpg 1297.jpg 1012.jpg 214.jpg
28.txt,1184.jpg 674.jpg 1628.jpg 1147.jpg 1381.jpg 1075.jpg 738.jpg 225.jpg 587.jpg 1757.jpg 1959.jpg 1615.jpg 191.jpg 1102.jpg 107.jpg 820.jpg 1871.jpg 1735.jpg 1192.jpg 1559.jpg
29.txt,1149.jpg 1505.jpg 340.jpg 1176.jpg 998.jpg 1536.jpg 45.jpg 174.jpg 223.jpg 1928.jpg 1133.jpg 1424.jpg 1976.jpg 234.jpg 19.jpg 1205.jpg 1461.jpg 1501.jpg 546.jpg 243.jpg
