Descritpion_ID,Top_20_Image_IDs
0.txt,21.jpg 1698.jpg 742.jpg 1105.jpg 1131.jpg 309.jpg 1420.jpg 255.jpg 594.jpg 626.jpg 359.jpg 1135.jpg 1980.jpg 93.jpg 484.jpg 1682.jpg 1466.jpg 435.jpg 1180.jpg 597.jpg
1.txt,833.jpg 818.jpg 158.jpg 1742.jpg 1601.jpg 1116.jpg 1714.jpg 331.jpg 457.jpg 1199.jpg 80.jpg 1143.jpg 200.jpg 1068.jpg 1550.jpg 14.jpg 758.jpg 1753.jpg 428.jpg 169.jpg
2.txt,1183.jpg 838.jpg 1866.jpg 159.jpg 445.jpg 598.jpg 511.jpg 1840.jpg 663.jpg 496.jpg 1040.jpg 1292.jpg 1242.jpg 784.jpg 372.jpg 883.jpg 1713.jpg 3.jpg 323.jpg 1677.jpg
3.txt,1514.jpg 469.jpg 1765.jpg 26.jpg 1126.jpg 1778.jpg 770.jpg 1101.jpg 1052.jpg 1748.jpg 1486.jpg 799.jpg 1430.jpg 1215.jpg 941.jpg 374.jpg 1620.jpg 1415.jpg 207.jpg 1000.jpg
4.txt,742.jpg 1269.jpg 969.jpg 985.jpg 430.jpg 1180.jpg 922.jpg 1462.jpg 687.jpg 1298.jpg 199.jpg 1243.jpg 1561.jpg 1606.jpg 1466.jpg 1248.jpg 725.jpg 978.jpg 1451.jpg 484.jpg
5.txt,771.jpg 51.jpg 492.jpg 1943.jpg 1335.jpg 1874.jpg 1693.jpg 846.jpg 630.jpg 814.jpg 330.jpg 379.jpg 1913.jpg 526.jpg 643.jpg 1991.jpg 1426.jpg 703.jpg 1830.jpg 1660.jpg
6.txt,1790.jpg 1855.jpg 1815.jpg 429.jpg 1216.jpg 1660.jpg 1923.jpg 1625.jpg 1885.jpg 1940.jpg 1472.jpg 1377.jpg 1335.jpg 1122.jpg 655.jpg 771.jpg 555.jpg 1151.jpg 402.jpg 1701.jpg
7.txt,975.jpg 528.jpg 481.jpg 1900.jpg 1239.jpg 745.jpg 685.jpg 168.jpg 1270.jpg 1488.jpg 902.jpg 1696.jpg 1155.jpg 1263.jpg 409.jpg 1818.jpg 1857.jpg 68.jpg 1816.jpg 1285.jpg
8.txt,531.jpg 719.jpg 1931.jpg 103.jpg 1618.jpg 1847.jpg 1674.jpg 1283.jpg 464.jpg 419.jpg 727.jpg 561.jpg 1864.jpg 923.jpg 208.jpg 1567.jpg 1348.jpg 1987.jpg 1570.jpg 1556.jpg
9.txt,614.jpg 1153.jpg 549.jpg 493.jpg 1243.jpg 554.jpg 881.jpg 1850.jpg 418.jpg 912.jpg 1384.jpg 770.jpg 1886.jpg 116.jpg 1380.jpg 413.jpg 1411.jpg 360.jpg 1956.jpg 1818.jpg
10.txt,696.jpg 904.jpg 1482.jpg 1421.jpg 1840.jpg 1471.jpg 186.jpg 1023.jpg 1475.jpg 42.jpg 1665.jpg 979.jpg 634.jpg 1340.jpg 838.jpg 1499.jpg 763.jpg 260.jpg 1437.jpg 1208.jpg
11.txt,1335.jpg 771.jpg 1943.jpg 492.jpg 814.jpg 1693.jpg 379.jpg 51.jpg 1426.jpg 630.jpg 330.jpg 1874.jpg 526.jpg 49.jpg 1923.jpg 1402.jpg 703.jpg 1830.jpg 643.jpg 846.jpg
