Descritpion_ID,Top_20_Image_IDs
0.txt,1077.jpg 714.jpg 105.jpg 669.jpg 1011.jpg 1480.jpg 345.jpg 1040.jpg 46.jpg 1380.jpg 683.jpg 1980.jpg 153.jpg 290.jpg 881.jpg 981.jpg 1883.jpg 124.jpg 1992.jpg 1296.jpg
1.txt,1639.jpg 833.jpg 428.jpg 1753.jpg 1714.jpg 1199.jpg 635.jpg 818.jpg 1742.jpg 355.jpg 482.jpg 997.jpg 1601.jpg 80.jpg 674.jpg 1049.jpg 589.jpg 1102.jpg 1824.jpg 160.jpg
2.txt,1183.jpg 445.jpg 838.jpg 1033.jpg 607.jpg 1651.jpg 42.jpg 953.jpg 372.jpg 1421.jpg 1866.jpg 159.jpg 1471.jpg 1321.jpg 1084.jpg 545.jpg 1713.jpg 600.jpg 117.jpg 244.jpg
3.txt,1514.jpg 469.jpg 1486.jpg 1765.jpg 1112.jpg 654.jpg 26.jpg 770.jpg 235.jpg 960.jpg 1215.jpg 799.jpg 1315.jpg 207.jpg 1850.jpg 305.jpg 374.jpg 1778.jpg 750.jpg 1207.jpg
4.txt,68.jpg 1231.jpg 849.jpg 46.jpg 305.jpg 199.jpg 1243.jpg 808.jpg 912.jpg 1581.jpg 1262.jpg 216.jpg 1479.jpg 549.jpg 1980.jpg 1180.jpg 969.jpg 1700.jpg 1663.jpg 608.jpg
5.txt,1693.jpg 249.jpg 1790.jpg 1183.jpg 60.jpg 771.jpg 1874.jpg 445.jpg 1335.jpg 1594.jpg 825.jpg 1118.jpg 1191.jpg 814.jpg 800.jpg 1651.jpg 607.jpg 1700.jpg 1656.jpg 496.jpg
6.txt,1701.jpg 1855.jpg 1790.jpg 1151.jpg 1377.jpg 1885.jpg 1275.jpg 262.jpg 1660.jpg 1465.jpg 1020.jpg 1944.jpg 1216.jpg 458.jpg 1815.jpg 1768.jpg 655.jpg 358.jpg 996.jpg 1265.jpg
7.txt,975.jpg 987.jpg 448.jpg 409.jpg 1123.jpg 1363.jpg 1461.jpg 907.jpg 932.jpg 10.jpg 451.jpg 764.jpg 1711.jpg 1905.jpg 725.jpg 1543.jpg 134.jpg 1031.jpg 1488.jpg 1258.jpg
8.txt,419.jpg 1283.jpg 537.jpg 1170.jpg 1902.jpg 991.jpg 1834.jpg 1031.jpg 1004.jpg 911.jpg 727.jpg 1348.jpg 1163.jpg 3.jpg 1942.jpg 1346.jpg 531.jpg 1808.jpg 1570.jpg 923.jpg
9.txt,1479.jpg 614.jpg 1700.jpg 1254.jpg 1446.jpg 82.jpg 760.jpg 1191.jpg 1402.jpg 188.jpg 632.jpg 1837.jpg 1355.jpg 1882.jpg 1296.jpg 958.jpg 965.jpg 1231.jpg 1913.jpg 1088.jpg
10.txt,696.jpg 1482.jpg 496.jpg 904.jpg 1471.jpg 1183.jpg 260.jpg 883.jpg 476.jpg 979.jpg 765.jpg 539.jpg 505.jpg 1421.jpg 323.jpg 511.jpg 1023.jpg 184.jpg 561.jpg 42.jpg
11.txt,445.jpg 1292.jpg 784.jpg 1088.jpg 934.jpg 372.jpg 1183.jpg 325.jpg 523.jpg 814.jpg 838.jpg 1402.jpg 1693.jpg 720.jpg 1084.jpg 834.jpg 1661.jpg 1398.jpg 1118.jpg 115.jpg
12.txt,1465.jpg 1057.jpg 221.jpg 1910.jpg 770.jpg 1656.jpg 1727.jpg 358.jpg 458.jpg 1918.jpg 1377.jpg 1443.jpg 262.jpg 267.jpg 1768.jpg 77.jpg 1207.jpg 52.jpg 1151.jpg 582.jpg
13.txt,1020.jpg 1855.jpg 1584.jpg 1018.jpg 1790.jpg 1153.jpg 1275.jpg 68.jpg 996.jpg 1243.jpg 262.jpg 808.jpg 1333.jpg 583.jpg 1231.jpg 1458.jpg 648.jpg 1265.jpg 1465.jpg 899.jpg
14.txt,1289.jpg 262.jpg 910.jpg 156.jpg 217.jpg 1151.jpg 414.jpg 623.jpg 655.jpg 897.jpg 555.jpg 1377.jpg 1444.jpg 1940.jpg 1312.jpg 1311.jpg 899.jpg 1933.jpg 718.jpg 458.jpg
15.txt,1999.jpg 1369.jpg 107.jpg 1839.jpg 738.jpg 247.jpg 1615.jpg 482.jpg 1477.jpg 644.jpg 1334.jpg 225.jpg 198.jpg 1114.jpg 149.jpg 1184.jpg 527.jpg 1102.jpg 818.jpg 1381.jpg
16.txt,37.jpg 1127.jpg 1236.jpg 1682.jpg 1610.jpg 518.jpg 78.jpg 267.jpg 670.jpg 734.jpg 52.jpg 1434.jpg 358.jpg 999.jpg 346.jpg 1132.jpg 1551.jpg 1088.jpg 989.jpg 68.jpg
17.txt,1144.jpg 1118.jpg 1191.jpg 445.jpg 1183.jpg 1594.jpg 953.jpg 106.jpg 1789.jpg 279.jpg 372.jpg 1533.jpg 1321.jpg 1222.jpg 600.jpg 82.jpg 720.jpg 1627.jpg 333.jpg 883.jpg
18.txt,1279.jpg 779.jpg 577.jpg 605.jpg 1463.jpg 239.jpg 764.jpg 1450.jpg 1123.jpg 59.jpg 10.jpg 1461.jpg 670.jpg 677.jpg 494.jpg 1819.jpg 1543.jpg 650.jpg 661.jpg 1774.jpg
